"doi_prefix","issn"
"10.61424","3005-3471"
"10.31861","2616-8766"
"10.21758","1229-9790"
"10.30858","0044-1600"
"10.79","0379-4024"
"10.30906","0023-1134"
"10.21276","2395-2814"
"10.18307","1003-5427"
"10.51302","2792-8322"
"10.30612","2177-7837"
"10.4313","1229-7607"
"10.2221","0389-2441"
"10.5902","2179-7692"
"10.36341","2502-891X"
"10.33448","2525-3409"
"10.47191","2767-827X"
"10.35674","2146-9229"
"10.52497","2273-872X"
"10.47297","2516-2500"
"10.3419","2048-903X"
"10.5642","2327-2074"
"10.4155","1757-6180"
"10.9761","2147-2971"
"10.21873","0250-7005"
"10.15766","2374-8265"
"10.37547","2693-0803"
"10.4149","1336-0345"
"10.4467","2450-4572"
"10.22495","1810-3057"
"10.5812","2008-7659"
"10.293","2655-2450"
"10.32462","0235-2508"
"10.56093","0367-8318"
"10.543","1927-7008"
"10.17586","0021-3454"
"10.217","1881-1396"
"10.1785","0037-1106"
"10.5253","0373-2266"
"10.30724","2658-5456"
"10.422","1890-2936"
"10.3359","2397-6764"
"10.17843","1726-4642"
"10.20344","1646-0758"
"10.5433","1679-0367"
"10.4139","0915-1869"
"10.1592","0277-0008"
"10.1205","0960-3085"
"10.31686","2411-2933"
"10.58458","2180-4508"
"10.1556","0238-0161"
"10.21093","2774-3209"
"10.2396","2808-1412"
"10.3399","0960-1643"
"10.47027","1307-9972"
"10.37091","1229-4683"
"10.2391","2349-4735"
"10.11646","1175-5334"
"10.31376","2410-0897"
"10.14421","2550-1267"
"10.22179","1514-5158"
"10.21168","2359-1919"
"10.4017","1569-111X"
"10.32473","2576-0009"
"10.1775","2587-9359"
"10.1148","0033-8419"
"10.2263","2543-9863"
"10.26739","2181-9130"
"10.1303","0003-6862"
"10.5059","0037-9980"
"10.33423","2158-3595"
"10.2031","2587-9340"
"10.55562","2790-2293"
"10.55522","2320-7418"
"10.3746","1226-3311"
"10.18267","1805-4854"
"10.5038","0392-6672"
"10.21687","0233-528X"
"10.2674","2597-9035"
"10.21852","1232-8766"
